src_id,dst_id,score
STITCH:CID100003639,UMLS:C0392176,0.9999978265927356
STITCH:CID100002085,UMLS:C0162835,0.9999970068555174
STITCH:CID100134018,UMLS:C0085610,0.9999795281074524
STITCH:CID100003899,UMLS:C0000833,0.9999689711644647
STITCH:CID100004889,UMLS:C0000731,0.9999516211955725
STITCH:CID100119607,UMLS:C0034065,0.999950557334609
STITCH:CID100004171,UMLS:C0007398,0.9999482987388988
STITCH:CID100055466,UMLS:C0003811,0.9999470200611785
STITCH:CID100004506,UMLS:C0233571,0.9999403856498768
STITCH:CID100004585,UMLS:C0028738,0.9999369428296319
STITCH:CID100004253,UMLS:C0013604,0.9999310738575677
STITCH:CID100114709,UMLS:C0025061,0.9999225032381209
STITCH:CID100003672,UMLS:C0028961,0.9999144443646676
STITCH:CID100003449,UMLS:C0424295,0.9999129745449634
STITCH:CID100003310,UMLS:C0178298,0.9999029482974343
STITCH:CID100054373,UMLS:C0000729,0.999902336183649
STITCH:CID100002631,UMLS:C0595916,0.9998991177851639
STITCH:CID100216326,UMLS:C0042024,0.9998937867979879
STITCH:CID100057469,UMLS:C0877098,0.999876451910542
STITCH:CID100003461,UMLS:C0343084,0.9998735456316022
STITCH:CID100004171,UMLS:C0023890,0.9998549855763368
STITCH:CID106442177,UMLS:C2239176,0.9998546356452261
STITCH:CID100003734,UMLS:C0036396,0.9998404949095746
STITCH:CID110096344,UMLS:C0271710,0.9998353711623181
STITCH:CID100004271,UMLS:C0018099,0.9998055836020838
STITCH:CID100002462,UMLS:C0702166,0.9997900046402123
STITCH:CID100004510,UMLS:C0009450,0.9997478039640316
STITCH:CID100004051,UMLS:C0015967,0.9997468363184687
STITCH:CID151508717,UMLS:C0003123,0.9997462164979283
STITCH:CID103081884,UMLS:C0020039,0.9997449937174036
STITCH:CID100005070,UMLS:C0020621,0.999730186060336
STITCH:CID100002085,UMLS:C0041834,0.9997272677474894
STITCH:CID106323497,UMLS:C0032227,0.9997198853833057
STITCH:CID100003454,UMLS:C0151315,0.9996976372441579
STITCH:CID106850791,UMLS:C1282799,0.9996918095781436
STITCH:CID100060843,UMLS:C0236124,0.9996912743047139
STITCH:CID100071360,UMLS:C0023530,0.9996829730282389
STITCH:CID103086257,UMLS:C0032227,0.9996746573673936
STITCH:CID100002182,UMLS:C0015672,0.9996730675814826
STITCH:CID100002547,UMLS:C0023530,0.9996702976761939
STITCH:CID100005523,UMLS:C0549239,0.999665023632206
STITCH:CID100005877,UMLS:C1735864,0.9996644675565778
STITCH:CID125077993,UMLS:C0877225,0.9996639814652343
STITCH:CID100003899,UMLS:C0021053,0.9996638501740218
STITCH:CID100002118,UMLS:C0001807,0.9996613817369305
STITCH:CID100150610,UMLS:C0018099,0.9996577372022613
STITCH:CID100004616,UMLS:C0012569,0.9996505569396733
STITCH:CID156603655,UMLS:C0521839,0.9996388421212291
STITCH:CID100003339,UMLS:C0038990,0.9996203185077696
STITCH:CID100197281,UMLS:C0151698,0.9995974876633769
STITCH:CID100002022,UMLS:C0002871,0.9995969090762173
STITCH:CID100002477,UMLS:C0030554,0.9995934834174636
STITCH:CID100005514,UMLS:C1384666,0.9995912028405953
STITCH:CID100002801,UMLS:C0033774,0.9995907620267024
STITCH:CID100004409,UMLS:C0003123,0.9995907261122948
STITCH:CID100002726,UMLS:C0027849,0.9995751411256665
STITCH:CID100005291,UMLS:C0206062,0.9995667927499782
STITCH:CID100004542,UMLS:C0015967,0.999566250209077
STITCH:CID100005403,UMLS:C0004093,0.999564798392908
STITCH:CID100105145,UMLS:C0018524,0.9995612342991307
STITCH:CID100060146,UMLS:C0003862,0.9995592675838553
STITCH:CID100041744,UMLS:C0015230,0.9995371389284623
STITCH:CID100003454,UMLS:C0020580,0.999515152642678
STITCH:CID100003339,UMLS:C0016204,0.9995079569562236
STITCH:CID100003419,UMLS:C0032961,0.9995066099474158
STITCH:CID100005077,UMLS:C0011570,0.9995002716524366
STITCH:CID100123623,UMLS:C0014742,0.9994987109394796
STITCH:CID116137271,UMLS:C0745153,0.9994984338548465
STITCH:CID100002349,UMLS:C0040046,0.9994931736976258
STITCH:CID100054688,UMLS:C0162429,0.9994892773021247
STITCH:CID105362420,UMLS:C0750394,0.9994879476529944
STITCH:CID100004748,UMLS:C0033975,0.999485370039462
STITCH:CID100005372,UMLS:C0006444,0.9994814779318157
STITCH:CID100003825,UMLS:C0023052,0.9994697019904057
